iteration,algorithm,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,ciphertext_size_bytes,overhead_bytes,overhead_pct,memory_mb
3,AES-GCM,text_short,100,44.375,43.75,2.1491252200704225,2.1798270089285716,116,16,16.0,0.00022125244140625
4,AES-GCM,text_short,100,44.792,43.416,2.129117512962694,2.1965964538562974,116,16,16.0,0.00022125244140625
5,AES-GCM,text_short,100,44.042,89.167,2.165374679638186,1.0695372911573229,116,16,16.0,0.00022125244140625
6,AES-GCM,text_short,100,47.875,85.209,1.9920090159921673,1.1192178248849887,116,16,16.0,0.00022125244140625
7,AES-GCM,text_short,100,46.041999999999994,99.33300000000001,2.0713138360763,0.9600780369124561,116,16,16.0,0.00022125244140625
8,AES-GCM,text_short,100,48.167,44.541,1.9799329757017252,2.1411156381900946,116,16,16.0,0.00022125244140625
9,AES-GCM,text_short,100,44.875,43.791999999999994,2.1251795351671308,2.1777363820018496,116,16,16.0,0.00022125244140625
10,AES-GCM,text_short,100,44.542,129.334,2.1410675686009832,0.7373732478746888,116,16,16.0,0.00022125244140625
11,AES-GCM,text_short,100,60.125,43.791999999999994,1.5861527091995842,2.1777363820018496,116,16,16.0,0.00022125244140625
12,AES-GCM,text_short,100,82.625,47.791,1.1542200501134645,1.9955102768434434,116,16,16.0,0.00022125244140625
13,AES-GCM,text_short,100,52.917,43.041,1.8022078281199803,2.2157345703079625,116,16,16.0,0.00022125244140625
14,AES-GCM,text_short,100,44.125,42.958,2.1613015669263453,2.220015634820639,116,16,16.0,0.00022125244140625
15,AES-GCM,text_short,100,46.5,43.25,2.0509125084005375,2.2050273211705202,116,16,16.0,0.00022125244140625
16,AES-GCM,text_short,100,44.375,42.958,2.1491252200704225,2.220015634820639,116,16,16.0,0.00022125244140625
17,AES-GCM,text_short,100,44.083,43.042,2.1633607431577935,2.2156830918782817,116,16,16.0,0.00022125244140625
18,AES-GCM,text_short,100,46.416,42.625,2.054624087397126,2.2373591000733137,116,16,16.0,0.00022125244140625
19,AES-GCM,text_short,100,46.458,43.417,2.0527666201865125,2.196545860852316,116,16,16.0,0.00022125244140625
20,AES-GCM,text_short,100,50.5,43.375,1.8884639928836633,2.198672775576369,116,16,16.0,0.00022125244140625
