iteration,algorithm,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,ciphertext_size_bytes,overhead_bytes,overhead_pct
3,aes-gcm-siv,text_long,2000,324,320,5.886878496334877,5.960464477539062,2016,16,0.8
4,aes-gcm-siv,text_long,2000,320,320,5.960464477539062,5.960464477539062,2016,16,0.8
5,aes-gcm-siv,text_long,2000,319,319,5.979149319161442,5.979149319161442,2016,16,0.8
6,aes-gcm-siv,text_long,2000,319,320,5.979149319161442,5.960464477539062,2016,16,0.8
7,aes-gcm-siv,text_long,2000,323,324,5.905104126354489,5.886878496334877,2016,16,0.8
8,aes-gcm-siv,text_long,2000,320,319,5.960464477539062,5.979149319161442,2016,16,0.8
9,aes-gcm-siv,text_long,2000,320,320,5.960464477539062,5.960464477539062,2016,16,0.8
10,aes-gcm-siv,text_long,2000,322,323,5.923442959045031,5.905104126354489,2016,16,0.8
11,aes-gcm-siv,text_long,2000,331,390,5.76238257647281,4.890637520032051,2016,16,0.8
12,aes-gcm-siv,text_long,2000,324,323,5.886878496334877,5.905104126354489,2016,16,0.8
13,aes-gcm-siv,text_long,2000,325,321,5.868765024038462,5.941896052375389,2016,16,0.8
14,aes-gcm-siv,text_long,2000,333,322,5.72777367210961,5.923442959045031,2016,16,0.8
15,aes-gcm-siv,text_long,2000,321,321,5.941896052375389,5.941896052375389,2016,16,0.8
16,aes-gcm-siv,text_long,2000,321,312,5.941896052375389,6.113296900040064,2016,16,0.8
17,aes-gcm-siv,text_long,2000,312,313,6.113296900040064,6.093765600039935,2016,16,0.8
18,aes-gcm-siv,text_long,2000,314,336,6.074358703224522,5.676632835751488,2016,16,0.8
19,aes-gcm-siv,text_long,2000,306,290,6.233165466707516,6.577064251077586,2016,16,0.8
20,aes-gcm-siv,text_long,2000,290,299,6.577064251077586,6.37909241743311,2016,16,0.8
21,aes-gcm-siv,text_long,2000,306,316,6.233165466707516,6.035913394976266,2016,16,0.8
22,aes-gcm-siv,text_long,2000,303,301,6.294879976278878,6.336706421303987,2016,16,0.8
23,aes-gcm-siv,text_long,2000,302,308,6.315723949710264,6.19269036627435,2016,16,0.8
24,aes-gcm-siv,text_long,2000,303,309,6.294879976278878,6.172649297127832,2016,16,0.8
25,aes-gcm-siv,text_long,2000,310,294,6.152737525201613,6.487580383715986,2016,16,0.8
26,aes-gcm-siv,text_long,2000,309,309,6.172649297127832,6.172649297127832,2016,16,0.8
27,aes-gcm-siv,text_long,2000,309,311,6.172649297127832,6.132953803255626,2016,16,0.8
28,aes-gcm-siv,text_long,2000,303,317,6.294879976278878,6.016872658714511,2016,16,0.8
29,aes-gcm-siv,text_long,2000,346,347,5.512568302926301,5.496681938940923,2016,16,0.8
30,aes-gcm-siv,text_long,2000,329,310,5.797412257788754,6.152737525201613,2016,16,0.8
1,aes-gcm,text_long,2000,323,337,5.905104126354489,5.659788227930267,2016,16,0.8
2,aes-gcm,text_long,2000,327,319,5.832870436735474,5.979149319161442,2016,16,0.8
3,aes-gcm,text_long,2000,330,318,5.7798443418560606,5.997951675511007,2016,16,0.8
4,aes-gcm,text_long,2000,333,330,5.72777367210961,5.7798443418560606,2016,16,0.8
5,aes-gcm,text_long,2000,318,323,5.997951675511007,5.905104126354489,2016,16,0.8
6,aes-gcm,text_long,2000,336,317,5.676632835751488,6.016872658714511,2016,16,0.8
7,aes-gcm,text_long,2000,324,331,5.886878496334877,5.76238257647281,2016,16,0.8
8,aes-gcm,text_long,2000,320,332,5.960464477539062,5.74502600244729,2016,16,0.8
9,aes-gcm,text_long,2000,331,331,5.76238257647281,5.76238257647281,2016,16,0.8
10,aes-gcm,text_long,2000,330,326,5.7798443418560606,5.850762677338957,2016,16,0.8
11,aes-gcm,text_long,2000,322,321,5.923442959045031,5.941896052375389,2016,16,0.8
12,aes-gcm,text_long,2000,331,320,5.76238257647281,5.960464477539062,2016,16,0.8
13,aes-gcm,text_long,2000,324,331,5.886878496334877,5.76238257647281,2016,16,0.8
14,aes-gcm,text_long,2000,322,357,5.923442959045031,5.342713257177871,2016,16,0.8
15,aes-gcm,text_long,2000,333,321,5.72777367210961,5.941896052375389,2016,16,0.8
16,aes-gcm,text_long,2000,324,327,5.886878496334877,5.832870436735474,2016,16,0.8
17,aes-gcm,text_long,2000,321,326,5.941896052375389,5.850762677338957,2016,16,0.8
18,aes-gcm,text_long,2000,325,320,5.868765024038462,5.960464477539062,2016,16,0.8
19,aes-gcm,text_long,2000,331,325,5.76238257647281,5.868765024038462,2016,16,0.8
20,aes-gcm,text_long,2000,322,333,5.923442959045031,5.72777367210961,2016,16,0.8
21,aes-gcm,text_long,2000,322,322,5.923442959045031,5.923442959045031,2016,16,0.8
22,aes-gcm,text_long,2000,331,329,5.76238257647281,5.797412257788754,2016,16,0.8
