iteration,config,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,overhead_bytes,overhead_pct,memory_mb
1,no-ecdh,text-small,100,100.75,99.834,0.9465750038771713,0.9552600480860728,16,16.0,0.00022125244140625
2,no-ecdh,text-small,100,100.375,99.709,0.9501113986612703,0.9564576080456628,16,16.0,0.00022125244140625
3,no-ecdh,text-small,100,100.29100000000001,100.0,0.9509071765225693,0.95367431640625,16,16.0,0.00022125244140625
4,no-ecdh,text-small,100,100.625,111.375,0.9477508734472049,0.8562732358305275,16,16.0,0.00022125244140625
5,no-ecdh,text-small,100,101.292,99.833,0.9415100071143327,0.9552696166660823,16,16.0,0.00022125244140625
6,no-ecdh,text-small,100,107.417,100.208,0.8878243819937719,0.9516947912404699,16,16.0,0.00022125244140625
7,no-ecdh,text-small,100,106.958,100.125,0.8916343951889995,0.9524837117665419,16,16.0,0.00022125244140625
8,no-ecdh,text-small,100,101.292,100.083,0.9415100071143327,0.9528834231650231,16,16.0,0.00022125244140625
9,no-ecdh,text-small,100,104.958,118.125,0.9086247036016788,0.8073433366402116,16,16.0,0.00022125244140625
10,no-ecdh,text-small,100,101.75,102.417,0.9372720554361179,0.9311679861802727,16,16.0,0.00022125244140625
11,no-ecdh,text-small,100,101.041,105.958,0.9438488498790095,0.9000493746637819,16,16.0,0.00022125244140625
12,no-ecdh,text-small,100,103.625,100.5,0.9203129712002412,0.9489296680659204,16,16.0,0.00022125244140625
13,no-ecdh,text-small,100,103.625,100.625,0.9203129712002412,0.9477508734472049,16,16.0,0.00022125244140625
14,no-ecdh,text-small,100,100.333,102.625,0.9505091210332094,0.9292806980816077,16,16.0,0.00022125244140625
15,no-ecdh,text-small,100,100.917,100.416,0.9450085876574313,0.9497234667844269,16,16.0,0.00022125244140625
16,no-ecdh,text-small,100,100.75,100.583,0.9465750038771713,0.9481466216023086,16,16.0,0.00022125244140625
17,no-ecdh,text-small,100,100.625,99.291,0.9477508734472049,0.9604841490228219,16,16.0,0.00022125244140625
18,no-ecdh,text-small,100,101.125,100.333,0.9430648369901112,0.9505091210332094,16,16.0,0.00022125244140625
19,no-ecdh,text-small,100,100.917,99.875,0.9450085876574313,0.9548679012828536,16,16.0,0.00022125244140625
20,no-ecdh,text-small,100,100.958,100.417,0.9446248107195566,0.9497140089887669,16,16.0,0.00022125244140625
21,no-ecdh,text-small,100,101.042,100.167,0.9438395087253321,0.9520843355658549,16,16.0,0.00022125244140625
22,no-ecdh,text-small,100,100.708,100.75,0.9469697704315944,0.9465750038771713,16,16.0,0.00022125244140625
23,no-ecdh,text-small,100,102.0,100.25,0.9349748200061274,0.9512960762157108,16,16.0,0.00022125244140625
24,no-ecdh,text-small,100,101.334,95.25,0.9411197785602562,1.0012328781167978,16,16.0,0.00022125244140625
25,no-ecdh,text-small,100,92.0,91.292,1.0366025178328804,1.0446417171343052,16,16.0,0.00022125244140625
